coach,ft_goals_for,ft_goals_against,ft_avg_goals,ht_goals_for,ht_goals_against,ht_avg_goals,overall_ft_goal_diff,avg_ft_goal_diff,overall_ht_goal_diff,avg_ht_goal_diff,games,wins,losses,draws,overall_goal_diff,win_pct,loss_pct,draw_pct
André Villas-Boas,81,67,1.5,27,27,0.5,14,0.25925925925925924,0,0.0,54,29,13,12,14,0.5370370370370371,0.24074074074074073,0.2222222222222222
Ange Postecoglou,138,126,1.8157894736842106,59,63,0.7763157894736842,12,0.15789473684210525,-4,-0.05263157894736842,76,31,34,11,12,0.40789473684210525,0.4473684210526316,0.14473684210526316
Antonio Conte,112,64,2.0,45,30,0.8035714285714286,48,0.8571428571428571,15,0.26785714285714285,56,32,15,9,48,0.5714285714285714,0.26785714285714285,0.16071428571428573
George Graham,33,38,1.1379310344827587,19,21,0.6551724137931034,-5,-0.1724137931034483,-2,-0.06896551724137931,29,9,11,9,-5,0.3103448275862069,0.3793103448275862,0.3103448275862069
Glen Hoddle,116,141,1.303370786516854,51,52,0.5730337078651685,-25,-0.2808988764044944,-1,-0.011235955056179775,89,32,39,18,-25,0.3595505617977528,0.43820224719101125,0.20224719101123595
Harry Redknapp,228,161,1.5833333333333333,103,64,0.7152777777777778,67,0.4652777777777778,39,0.2708333333333333,144,71,36,37,67,0.4930555555555556,0.25,0.2569444444444444
Interim Manager*,78,80,1.5294117647058822,30,37,0.5882352941176471,-2,-0.0392156862745098,-7,-0.13725490196078433,51,20,24,7,-2,0.39215686274509803,0.47058823529411764,0.13725490196078433
Jacques Santini,6,8,0.5454545454545454,3,5,0.2727272727272727,-2,-0.18181818181818182,-2,-0.18181818181818182,11,3,4,4,-2,0.2727272727272727,0.36363636363636365,0.36363636363636365
José Mourinho,97,67,1.6724137931034482,53,26,0.9137931034482759,30,0.5172413793103449,27,0.46551724137931033,58,27,17,14,30,0.46551724137931033,0.29310344827586204,0.2413793103448276
Juande Ramos,53,50,1.5142857142857142,21,16,0.6,3,0.08571428571428572,5,0.14285714285714285,35,10,14,11,3,0.2857142857142857,0.4,0.3142857142857143
Martin Jol,168,146,1.4867256637168142,72,71,0.6371681415929203,22,0.19469026548672566,1,0.008849557522123894,113,47,36,30,22,0.415929203539823,0.3185840707964602,0.26548672566371684
Mauricio Pochettino,372,206,1.8415841584158417,163,91,0.806930693069307,166,0.8217821782178217,72,0.3564356435643564,202,113,46,43,166,0.5594059405940595,0.22772277227722773,0.21287128712871287
Nuno Espírito Santo,9,16,0.9,6,5,0.6,-7,-0.7,1,0.1,10,5,5,0,-7,0.5,0.5,0.0
Thomas Frank,36,37,1.3846153846153846,14,20,0.5384615384615384,-1,-0.038461538461538464,-6,-0.23076923076923078,26,7,11,8,-1,0.2692307692307692,0.4230769230769231,0.3076923076923077
Tim Sherwood,40,30,1.8181818181818181,15,16,0.6818181818181818,10,0.45454545454545453,-1,-0.045454545454545456,22,13,6,3,10,0.5909090909090909,0.2727272727272727,0.13636363636363635
