Season,Date,OT,TL,TFTG,OTFTG,FTR,THTG,OTHTG,HTR,TS,OTS,TST,OTST,FTGD,HTGD,coach,FTGDRA,HTGDRA,TFTGRA,OTFTGRA,TSTRA,OTSTRA
2526,2025-08-16,Burnley,H,3,0,W,1,0,W,16,14,6,4,3,1,Thomas Frank,-0.8,0.2,1.0,1.8,2.4,6.2
2526,2025-08-23,Man City,A,2,0,W,2,0,W,12,10,5,4,2,2,Thomas Frank,-0.4,0.6,1.2,1.6,3.0,6.6
2526,2025-08-30,Bournemouth,H,0,1,L,0,1,L,5,20,1,6,-1,-1,Thomas Frank,-0.2,0.6,1.2,1.4,3.0,5.8
2526,2025-09-13,West Ham,A,3,0,W,0,0,D,14,7,5,4,3,0,Thomas Frank,0.8,0.6,1.8,1.0,3.8,5.2
2526,2025-09-20,Brighton,A,2,2,D,1,2,L,11,12,3,4,0,-1,Thomas Frank,1.4,0.2,2.0,0.6,4.0,4.4
2526,2025-09-27,Wolves,H,1,1,D,0,0,D,10,9,3,3,0,0,Thomas Frank,0.8,0.0,1.6,0.8,3.4,4.2
2526,2025-10-04,Leeds,A,2,1,W,1,1,D,9,16,3,4,1,0,Thomas Frank,0.6,-0.4,1.6,1.0,3.0,4.2
2526,2025-10-19,Aston Villa,H,1,2,L,1,1,D,9,8,3,2,-1,0,Thomas Frank,0.6,-0.2,1.8,1.2,3.4,3.4
2526,2025-10-26,Everton,A,3,0,W,2,0,W,7,12,4,2,3,2,Thomas Frank,0.6,0.2,1.8,1.2,3.2,3.0
2526,2025-11-01,Chelsea,H,0,1,L,0,1,L,3,15,1,9,-1,-1,Thomas Frank,0.4,0.2,1.4,1.0,2.8,4.0
2526,2025-11-08,Man United,H,2,2,D,0,1,L,10,5,4,2,0,-1,Thomas Frank,0.4,0.0,1.6,1.2,3.0,3.8
2526,2025-11-23,Arsenal,A,1,4,L,0,2,L,3,17,2,8,-3,-2,Thomas Frank,-0.4,-0.4,1.4,1.8,2.8,4.6
2526,2025-11-29,Fulham,H,1,2,L,0,2,L,14,7,2,3,-1,-2,Thomas Frank,-0.4,-0.8,1.4,1.8,2.6,4.8
2526,2025-12-02,Newcastle,A,2,2,D,0,0,D,8,19,2,7,0,0,Thomas Frank,-1.0,-1.2,1.2,2.2,2.2,5.8
2526,2025-12-06,Brentford,H,2,0,W,2,0,W,15,4,7,1,2,2,Thomas Frank,-0.4,-0.6,1.6,2.0,3.4,4.2
2526,2025-12-14,Nott'm Forest,A,0,3,L,0,1,L,6,15,1,6,-3,-1,Thomas Frank,-1.0,-0.6,1.2,2.2,2.8,5.0
2526,2025-12-20,Liverpool,H,1,2,L,0,0,D,15,8,4,4,-1,0,Thomas Frank,-0.6,-0.2,1.2,1.8,3.2,4.2
2526,2025-12-28,Crystal Palace,A,1,0,W,1,0,W,8,15,4,2,1,1,Thomas Frank,-0.2,0.4,1.2,1.4,3.6,4.0
2526,2026-01-01,Brentford,A,0,0,D,0,0,D,9,7,3,2,0,0,Thomas Frank,-0.2,0.4,0.8,1.0,3.8,3.0
2526,2026-01-04,Sunderland,H,1,1,D,1,0,W,13,10,5,3,0,1,Thomas Frank,-0.6,0.2,0.6,1.2,3.4,3.4
2526,2026-01-07,Bournemouth,A,2,3,L,1,2,L,16,11,4,3,-1,-1,Thomas Frank,-0.2,0.2,1.0,1.2,4.0,2.8
2526,2026-01-17,West Ham,H,1,2,L,0,1,L,21,17,6,4,-1,-1,Thomas Frank,-0.2,0.0,1.0,1.2,4.4,2.8
2526,2026-01-24,Burnley,A,2,2,D,1,1,D,18,9,11,4,0,0,Thomas Frank,-0.4,-0.2,1.2,1.6,5.8,3.2
2526,2026-02-01,Man City,H,2,2,D,0,2,L,12,15,6,3,0,-2,Thomas Frank,-0.4,-0.6,1.6,2.0,6.4,3.4
2526,2026-02-07,Man United,A,0,2,L,0,1,L,7,23,1,10,-2,-1,Thomas Frank,-0.8,-1.0,1.4,2.2,5.6,4.8
2526,2026-02-10,Newcastle,H,1,2,L,0,1,L,16,21,2,5,-1,-1,Thomas Frank,-0.8,-1.0,1.2,2.0,5.2,5.2
