Position,Team_MD,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Logo URL
1,![Arsenal](https://resources.premierleague.com/premierleague25/badges/3.svg) Arsenal,26,17,6,3,50,18,32,57,https://resources.premierleague.com/premierleague25/badges/3.svg
2,![Manchester City](https://resources.premierleague.com/premierleague25/badges/43.svg) Manchester City,26,16,5,5,54,24,30,53,https://resources.premierleague.com/premierleague25/badges/43.svg
3,![Aston Villa](https://resources.premierleague.com/premierleague25/badges/7.svg) Aston Villa,26,15,5,6,37,27,10,50,https://resources.premierleague.com/premierleague25/badges/7.svg
4,![Manchester United](https://resources.premierleague.com/premierleague25/badges/1.svg) Manchester United,26,12,9,5,47,37,10,45,https://resources.premierleague.com/premierleague25/badges/1.svg
5,![Chelsea](https://resources.premierleague.com/premierleague25/badges/8.svg) Chelsea,26,12,8,6,47,30,17,44,https://resources.premierleague.com/premierleague25/badges/8.svg
6,![Liverpool](https://resources.premierleague.com/premierleague25/badges/14.svg) Liverpool,26,12,6,8,41,35,6,42,https://resources.premierleague.com/premierleague25/badges/14.svg
7,![Brentford](https://resources.premierleague.com/premierleague25/badges/94.svg) Brentford,26,12,4,10,40,35,5,40,https://resources.premierleague.com/premierleague25/badges/94.svg
8,![Everton](https://resources.premierleague.com/premierleague25/badges/11.svg) Everton,26,10,7,9,29,30,-1,37,https://resources.premierleague.com/premierleague25/badges/11.svg
9,![Bournemouth](https://resources.premierleague.com/premierleague25/badges/91.svg) Bournemouth,26,9,10,7,43,45,-2,37,https://resources.premierleague.com/premierleague25/badges/91.svg
10,![Newcastle United](https://resources.premierleague.com/premierleague25/badges/4.svg) Newcastle United,26,10,6,10,37,37,0,36,https://resources.premierleague.com/premierleague25/badges/4.svg
11,![Sunderland](https://resources.premierleague.com/premierleague25/badges/56.svg) Sunderland,26,9,9,8,27,30,-3,36,https://resources.premierleague.com/premierleague25/badges/56.svg
12,![Fulham](https://resources.premierleague.com/premierleague25/badges/54.svg) Fulham,26,10,4,12,35,40,-5,34,https://resources.premierleague.com/premierleague25/badges/54.svg
13,![Crystal Palace](https://resources.premierleague.com/premierleague25/badges/31.svg) Crystal Palace,26,8,8,10,28,32,-4,32,https://resources.premierleague.com/premierleague25/badges/31.svg
14,![Brighton and Hove Albion](https://resources.premierleague.com/premierleague25/badges/36.svg) Brighton and Hove Albion,26,7,10,9,34,34,0,31,https://resources.premierleague.com/premierleague25/badges/36.svg
15,![Leeds United](https://resources.premierleague.com/premierleague25/badges/2.svg) Leeds United,26,7,9,10,36,45,-9,30,https://resources.premierleague.com/premierleague25/badges/2.svg
16,![Tottenham Hotspur](https://resources.premierleague.com/premierleague25/badges/6.svg) Tottenham Hotspur,26,7,8,11,36,37,-1,29,https://resources.premierleague.com/premierleague25/badges/6.svg
17,![Nottingham Forest](https://resources.premierleague.com/premierleague25/badges/17.svg) Nottingham Forest,26,7,6,13,25,38,-13,27,https://resources.premierleague.com/premierleague25/badges/17.svg
18,![West Ham United](https://resources.premierleague.com/premierleague25/badges/21.svg) West Ham United,26,6,6,14,32,49,-17,24,https://resources.premierleague.com/premierleague25/badges/21.svg
19,![Burnley](https://resources.premierleague.com/premierleague25/badges/90.svg) Burnley,26,4,6,16,28,51,-23,18,https://resources.premierleague.com/premierleague25/badges/90.svg
20,![Wolverhampton Wanderers](https://resources.premierleague.com/premierleague25/badges/39.svg) Wolverhampton Wanderers,26,1,6,19,16,48,-32,9,https://resources.premierleague.com/premierleague25/badges/39.svg
