Season,Date,OT,TL,TFTG,OTFTG,FTR,THTG,OTHTG,HTR,TS,OTS,TST,OTST,FTGD,HTGD,coach
0001,2000-08-19,Ipswich,H,3,1,W,2,1,W,20,15,6,5,2,1,George Graham
0001,2000-08-22,Middlesbrough,A,1,1,D,1,0,W,11,12,4,6,0,1,George Graham
0001,2000-08-26,Newcastle,A,0,2,L,0,1,L,10,15,2,6,-2,-1,George Graham
0001,2000-09-05,Everton,H,3,2,W,1,2,L,11,11,7,6,1,-1,George Graham
0001,2000-09-11,West Ham,H,1,0,W,0,0,D,15,11,7,5,1,0,George Graham
0001,2000-09-16,Charlton,A,0,1,L,0,1,L,10,9,5,5,-1,-1,George Graham
0001,2000-09-23,Man City,H,0,0,D,0,0,D,18,7,5,2,0,0,George Graham
0001,2000-09-30,Leeds,A,3,4,L,1,0,W,10,14,5,7,-1,1,George Graham
0001,2000-10-14,Coventry,A,1,2,L,0,2,L,4,0,5,5,-1,-2,George Graham
0001,2000-10-21,Derby,H,3,1,W,2,1,W,18,8,8,7,2,1,George Graham
0001,2000-10-28,Chelsea,A,0,3,L,0,2,L,6,9,3,7,-3,-2,George Graham
0001,2000-11-04,Sunderland,H,2,1,W,1,0,W,11,12,6,3,1,1,George Graham
0001,2000-11-11,Aston Villa,A,0,2,L,0,1,L,3,11,2,6,-2,-1,George Graham
0001,2000-11-19,Liverpool,H,2,1,W,2,1,W,6,9,4,4,1,1,George Graham
0001,2000-11-25,Leicester,H,3,0,W,2,0,W,15,11,7,5,3,2,George Graham
0001,2000-12-02,Man United,A,0,2,L,0,1,L,5,16,3,8,-2,-1,George Graham
0001,2000-12-09,Bradford,A,3,3,D,2,1,W,6,13,4,6,0,1,George Graham
0001,2000-12-18,Arsenal,H,1,1,D,1,0,W,8,17,4,10,0,1,George Graham
0001,2000-12-23,Middlesbrough,H,0,0,D,0,0,D,16,5,8,0,0,0,George Graham
0001,2000-12-27,Southampton,A,0,2,L,0,2,L,7,17,2,6,-2,-2,George Graham
0001,2000-12-30,Ipswich,A,0,3,L,0,1,L,6,18,3,9,-3,-1,George Graham
0001,2001-01-02,Newcastle,H,4,2,W,3,1,W,16,9,10,4,2,2,George Graham
0001,2001-01-13,Everton,A,0,0,D,0,0,D,4,17,1,8,0,0,George Graham
0001,2001-01-20,Southampton,H,0,0,D,0,0,D,9,9,4,6,0,0,George Graham
0001,2001-01-31,West Ham,A,0,0,D,0,0,D,14,17,6,6,0,0,George Graham
0001,2001-02-03,Charlton,H,0,0,D,0,0,D,9,7,3,2,0,0,George Graham
0001,2001-02-10,Man City,A,1,0,W,0,0,D,11,11,4,4,1,0,George Graham
0001,2001-02-24,Leeds,H,1,2,L,1,1,D,13,15,4,9,-1,0,George Graham
